receive_ts;exchange_ts;price;quantity;side
1716810808663260;1716810808661000;68480.10000000;0.01100000;bid
1716810809314641;1716810809312000;68480.00000000;0.00200000;ask
1716810809719209;1716810809717000;68480.10000000;0.00500000;bid
1716810809719209;1716810809717000;68480.10000000;0.00200000;bid
1716810809719209;1716810809717000;68480.10000000;0.16900000;bid
1716810810150000;1716810810145000;68479.50000000;1.05000000;ask
1716810810155000;1716810810148000;68480.50000000;0.50000000;bid
1716810810200000;1716810810195000;68479.00000000;2.00000000;ask
1716810810250100;1716810810245000;68481.00000000;3.10000000;bid
1716810810300000;1716810810295000;68478.50000000;0.75000000;ask
1716810810350000;1716810810345000;68481.50000000;1.25000000;bid
1716810810400000;1716810810395000;68478.00000000;4.00000000;ask
1716810810450000;1716810810445000;68482.00000000;0.10000000;bid
1716810810500000;1716810810495000;68477.50000000;0.05000000;ask
1716810810550000;1716810810545000;68482.50000000;5.50000000;bid
